0
";2017-10-18 11:04;0;0;""That #ShangweVedio should be replaced. Where did #AkombeMustGo disappeared?"";;;#ShangweVedio #AkombeMustGo;""920561132846374912"";https://twitter.com/GordonOka/status/920561132846374912        "
";2017-10-18 09:15;0;1;""they wrote letters to iebc their bloggers trended #akombemustgo  ama you wanted them to call for riots?"";;;#akombemustgo;""920533868758872064"";https://twitter.com/Kianangih/status/920533868758872064      "
";2017-10-18 09:06;0;2;""Akombe was a nasa mole   Jubilee never wanted him  september 8 the 36 bloggers trended #AkombeMustGo  leaking ""her chats"" with orengo"";;;#AkombeMustGo;""920531601775316992"";https://twitter.com/Kianangih/status/920531601775316992     "
";2017-10-04 12:24;0;0;""@paulinenjoroge @OleItumbi @JubileePartyK @TeamUhuru . @HonAdenDuale @KimaniIchungwa @HonMoses_Kuria Akuna kulala 24/7 #AkombeMustGo pic.twitter.com/6wFYu4RYwX"";;@paulinenjoroge @OleItumbi @JubileePartyK @TeamUhuru @HonAdenDuale @KimaniIchungwa @HonMoses_Kuria;#AkombeMustGo;""915507834841976832"";https://twitter.com/PapaJesse4/status/915507834841976832        "
";2017-09-25 20:20;0;0;""#akombemustgo"";;;#akombemustgo;""912366240160677889"";https://twitter.com/dennisomanga/status/912366240160677889        "
";2017-09-25 16:36;3;0;""if what am seeing doing rounds on social media is true definitely we are headed the wrong way as a country #AkombemustGo"";;;#AkombemustGo;""912309936381710337"";https://twitter.com/iancollinsbett/status/912309936381710337        "
";2017-09-23 16:27;0;1;""All the chaps saying #AkombeMustGo . Be specific coz even the jails aren'tvsufficiently good for her. Do we still have the gullotine?"";;;#AkombeMustGo;""911582898029043712"";https://twitter.com/MwangiJmacs/status/911582898029043712        "
";2017-09-23 16:23;0;0;""This is amazing. #AkombeMustGo . Guys are true wikileaks! https:// twitter.com/MarionWanjiru2 0/status/911579382480850944 …"";;;#AkombeMustGo;""911581831652368384"";https://twitter.com/MwangiJmacs/status/911581831652368384        "
";2017-09-23 16:13;11;3;""#AkombeMustGo This she devil sold this nation to the dogs pic.twitter.com/1AKlTD6DbN"";;;#AkombeMustGo;""911579382480850944"";https://twitter.com/MarionWanjiru20/status/911579382480850944        "
";2017-09-11 21:11;0;0;""Suddenly the dogs have backed away from #AkombeMustGo"";;;#AkombeMustGo;""907305662228553729"";https://twitter.com/ankapiani/status/907305662228553729        "
";2017-09-11 01:21;0;1;""@iam_jmeka its your own fart  you fart at yourself and you say you could smell something  are you insane? #AkombeMustGo"";;@iam_jmeka;#AkombeMustGo;""907006026007924737"";https://twitter.com/george_githi/status/907006026007924737      "
";2017-09-10 10:45;0;1;""I will not be forced to quit by Jubilee  Commissioner Akombe declares. #AkombeMustGo"";;;#AkombeMustGo;""906785780399575040"";https://twitter.com/Ryan_Mucilih/status/906785780399575040       "
";2017-09-10 08:05;0;0;""So you are a NASA mole.. #AkombeMustGo"";;;#AkombeMustGo;""906745511415308288"";https://twitter.com/kelvohmutugi/status/906745511415308288        "
";2017-09-09 12:33;1;1;""#AkombeMustGo pic.twitter.com/LJwG9Gjglx"";;;#AkombeMustGo;""906450598555475968"";https://twitter.com/sallygachui1/status/906450598555475968        "
";2017-09-09 11:41;0;0;""@Akombe think about what you have done. This country won't ever forget and forgive you if constitutional crises occur. #AkombeMustGo"";;@Akombe;#AkombeMustGo;""906437404873158657"";https://twitter.com/LAFJIBIYE1/status/906437404873158657        "
";2017-09-09 11:06;1;0;""36 deplorables on #AkombeMustGo Just because she is not a wambui njeri njoki or wairimu"";;;#AkombeMustGo;""906428704959713280"";https://twitter.com/RealBennah/status/906428704959713280      "
";2017-09-08 22:09;0;0;""#RailaPresser #ChilobaRespondAndExplain #ChebukatiLetters #Vote4change #PartisanNCIC #Vote4Hope #Vote4Prosperity #AkombeMustGo https:// twitter.com/MuthuiMkenya/s tatus/906131239815524353 …"";;;#RailaPresser #ChilobaRespondAndExplain #ChebukatiLetters #Vote4change #PartisanNCIC #Vote4Hope #Vote4Prosperity #AkombeMustGo;""906233073158762496"";https://twitter.com/HermoineJG/status/906233073158762496        "
";2017-09-08 22:07;0;0;""Simple logic.If Jubilee have numbers n can win why go for vote thuggery?Sad.Numbers dont lie.Akombe stays #AkombeMustGo #KenyaPoliticalGames"";;;#AkombeMustGo #KenyaPoliticalGames;""906232526141841409"";https://twitter.com/WerimoMutuli/status/906232526141841409       "
";2017-09-08 21:58;0;0;""#AkombeMustGo Isaac ruto had no other alternative ""if you can't beat them join them"" for the sake of your stomach"";;;#AkombeMustGo;""906230329370959872"";https://twitter.com/MonkeyBizbus/status/906230329370959872        "
";2017-09-08 21:44;0;0;""#AkombeMustGo greenhorns insulting Dr akombe here only certs they have is leaving cert.what akombe is 2nasa is what chilo is 2chupilee"";;;#AkombeMustGo;""906226767169556481"";https://twitter.com/MonkeyBizbus/status/906226767169556481        "
";2017-09-08 21:39;0;0;""#AkombeMustGo just a diversion from the rotten underbelly led by #ChebukatiMemoToChiloba"";;;#AkombeMustGo #ChebukatiMemoToChiloba;""906225390179495936"";https://twitter.com/MonkeyBizbus/status/906225390179495936        "
";2017-09-08 20:28;0;0;""Why are people turning this thing around to Jubilee though ? I thought it was Akombe being a mole for NASA #AkombeMustGo"";;;#AkombeMustGo;""906207753265451008"";https://twitter.com/El_forgeron/status/906207753265451008        "
";2017-09-08 20:19;0;0;""Those saying #AkombeMustGo are allegedly supporters of impunity and underhand dealings @JubileePartyK @Boncrazy1"";;@JubileePartyK @Boncrazy1;#AkombeMustGo;""906205474978136064"";https://twitter.com/SitawaMicah/status/906205474978136064        "
";2017-09-08 20:17;0;0;""Is only a matter of time till the placard boy realises his insignifance role in coalition #NasaSinkingShip #RailaPresser #AkombeMustGo"";;;#NasaSinkingShip #RailaPresser #AkombeMustGo;""906204800219574273"";https://twitter.com/ital_john/status/906204800219574273        "
";2017-09-08 19:12;0;0;""#AkombeMustGo"";;;#AkombeMustGo;""906188439632179202"";https://twitter.com/MikeMarshallKE/status/906188439632179202        "
";2017-09-08 18:30;0;0;""stop dreaming    Old guys want to push youths out of the system    We won't leave them progress. #AkombeMustGo"";;;#AkombeMustGo;""906178046411120640"";https://twitter.com/africanrahman/status/906178046411120640  "
";2017-09-08 18:30;2;2;""#AkombeMustGo pic.twitter.com/NBWHpAYrBA"";;;#AkombeMustGo;""906177841347354625"";https://twitter.com/kibebekaroki/status/906177841347354625        "
";2017-09-08 17:15;2;2;""She pretended to have gone to the US on official duties but it was a cover up. Cursed be James Orengo #AkombeMustGo pic.twitter.com/sOkPi31XE7"";;;#AkombeMustGo;""906159104988729346"";https://twitter.com/MarionWanjiru20/status/906159104988729346        "
";2017-09-08 17:06;0;0;""Can you say something on #AkombeMustGo sir"";;;#AkombeMustGo;""906156688922828804"";https://twitter.com/Emmanue60593680/status/906156688922828804        "
";2017-09-08 17:05;3;6;""The people Raila is asking to fund his campaign are the same people he told not to go work. Dunia ina mambo #RailaPresser #AkombeMustGo pic.twitter.com/tidejh20Ej"";;;#RailaPresser #AkombeMustGo;""906156618043273216"";https://twitter.com/MsemaKweliKenya/status/906156618043273216        "
";2017-09-08 16:53;1;4;""I think this humiliation of Kalonzo is getting out of hand  even Babu Owino refused to hold the card #RailaPresser #AkombeMustGo @Ma3Route pic.twitter.com/R2IsRr479V"";;@Ma3Route;#RailaPresser #AkombeMustGo;""906153403474161665"";https://twitter.com/MsemaKweliKenya/status/906153403474161665       "
";2017-09-08 16:48;1;1;""The only way NASA can kick @JimmyWanjigi out is if they pay back his money. Sirikali Saidia #RailaPresser #AkombeMustGo @PwaniTraffic @kot pic.twitter.com/jGKAG28aW6"";;@JimmyWanjigi @PwaniTraffic @kot;#RailaPresser #AkombeMustGo;""906152314217652224"";https://twitter.com/MsemaKweliKenya/status/906152314217652224        "
";2017-09-08 16:45;0;1;""When Raila says 'our sources within IEBC' he is talking about Akombe #AkombeMustGo @MissLotede @TheKenyanPost @Machukah pic.twitter.com/HE4ed2hBMb"";;@MissLotede @TheKenyanPost @Machukah;#AkombeMustGo;""906151441278128128"";https://twitter.com/MsemaKweliKenya/status/906151441278128128        "
";2017-09-08 16:40;5;2;""NASA is just asking their supporters to pay back @JimmyWanjigi . You ask for what you don't have #AkombeMustGo #RailaPresser @kenyaisbetter pic.twitter.com/1bEAUrrd4w"";;@JimmyWanjigi @kenyaisbetter;#AkombeMustGo #RailaPresser;""906150332966866945"";https://twitter.com/MsemaKweliKenya/status/906150332966866945        "
";2017-09-08 16:32;1;1;""When NASA borrowed money from @JimmyWanjigi they didn't ask anyone  now their supporters will have to pay #AkombeMustGo pic.twitter.com/i4N73dBHQ4"";;@JimmyWanjigi;#AkombeMustGo;""906148324260052992"";https://twitter.com/MsemaKweliKenya/status/906148324260052992       "
";2017-09-08 16:06;0;1;""#AkombeMustGo Akombe colluded with James Orengo to bungle the election"";;;#AkombeMustGo;""906141630603960323"";https://twitter.com/TsomnyaziWa/status/906141630603960323        "
";2017-09-08 15:53;0;0;""So this is the deal?Provide fake memo to cause disruption of oct17 elections? #AkombeMustGo"";;;#AkombeMustGo;""906138496313806848"";https://twitter.com/EscoBoomin4/status/906138496313806848        "
";2017-09-08 15:52;0;0;""#AkombeMustGo the problem is not Akombe or any other IEBC commissioner but the political monsters that sent their demads their will done!"";;;#AkombeMustGo;""906138153739747328"";https://twitter.com/mkaoIsaac/status/906138153739747328        "
